Member,PocFirstName,Common Name 1,Common Name 2,Main Industry,Description,Geographic considerations,Key Phrase 1,Key Phrase 2,Key Phrase 3,Key Phrase 4,Key Phrase 5,Key Phrase 6,Key Phrase 7,Key Phrase 8,Key Phrase 9,Key Phrase 10
Oshkosh Corporation,Chris,Oshkosh,Oshkosh,specialty vehicles,,Interested in virtual and major in-person events on the MIT campus.,mobility,automobile,access vehicles,electrification,autonomy,batteries,,,,
FM,Jaap,FM,,commercial insurance,,"Based in Providence, RI and Norwood, MA. Most key executives can make day trips to MIT Campus.",climate risk,resilience,data centers,commercial insurance,nuclear,fusion,fission,sustainability,construction,real estate
RCG,Brian,RCG,RCG,cruise line,,"Based in Miami, FL. Can make infrequent trips to MIT campus. ",cruise lines,maritime,energy,decarbonization,ports,carbon capture,batteries,alternative fuels,sustainability,shipping
Humana,Simon,Humana,,"insurance, telehealth, and related areas",,"Headquarters in Kentucky, USA. Point of contact is in Boston, MA, so he can easily attend events on campus at MIT.",seniors,health care,wellness,telehealth,healthcare spending,government health policy,health insurance,,,
Symbotic,Rachel,Symbotic,,robotics for warehouse automation,,"Based in Wilmington, MA. So can make it to MIT events on campus and most employees are local.",robotics,logistics,warehouse automation,autonomy,,,,,,
FCAT,Aaron,FCAT,Fidelity,financial services,,"Based in Boston, but significant interest in ILP in Ireland and the UK (London). Would likely attend major events on campus.",startups,ecosystem,innovation,artificial intelligence,blockchain,emerging technology,quantum,ai,fintech,immersion
SCBX,Tutanon,SCBX,,banking and financial services,,Very interested in events in Thailand and ASEAN. Can make trips to MIT campus for major ILP events.,ai,artificial intelligence,sustainability,sustainable finance,fhe,blockchain,,,,
CommBank,Casey,CommBank,CBA,banking and financial services,,"Based in Australia, but can make trips to the MIT campus for major ILP events.",ai,consumer behavior,ai vulnerabilities,fintech,solar,wind,australia,banking,,
Edward Jones,Patrick,EJI,,financial advisor,,"Based in St. Louis, MO, USA. Can make occasional trips to MIT Campus for major events.",ai,financial advice,work of the future,fintech,sustainable finance,consumer behavior,stock markets,personal investing,,
HSBC,Jessica,HSBC,,banking and financial services,,"Most contacts are based in Buffalo, NY, USA and New York, NY, USA. Can make occasional trips to MIT Campus for major events. Any events in London should be flagged for their headquarters executives.",ai,fintech,work of the future,sustainable finance,banking,,,,,
